Site,Substrate,Cuvette,Filter type,Filter weight,RFU,Time,Interval
Chiguiri Abajo,MUB-Sulfate,3,Control,0.0051,4987.38,16:02,80
Chiguiri Abajo,MUB-Sulfate,3,Control,0.0051,4901.44,16:22,100
Chiguiri Abajo,MUB-Sulfate,3,Control,0.0051,4912.67,16:40,120
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1262.39,14:42,0
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1287.88,15:02,20
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1238.08,15:22,40
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1251.5,15:42,60
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1268.32,16:02,80
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1267.06,16:22,100
Chiguiri Abajo,MUB-B-Cellobioside,1,Live,0.0036,1266.35,16:40,120
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1419.51,14:42,0
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1538.14,15:02,20
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1562.25,15:22,40
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1594.78,15:42,60
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1611.01,16:02,80
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1635.32,16:22,100
Chiguiri Abajo,MUB-B-Cellobioside,2,Live,0.0063,1717.93,16:41,120
Chiguiri Abajo,MUB-B-Cellobioside,3,Control,0.0047,3100.33,15:03,20
Chiguiri Abajo,MUB-B-Cellobioside,3,Control,0.0047,3144.8,15:22,40
Chiguiri Abajo,MUB-B-Cellobioside,3,Control,0.0047,3079.1,15:43,60
Chiguiri Abajo,MUB-B-Cellobioside,3,Control,0.0047,3074.89,16:03,80
Chiguiri Abajo,MUB-B-Cellobioside,3,Control,0.0047,3046.84,16:23,100
Chiguiri Abajo,MUB-B-Cellobioside,3,Control,0.0047,3174.38,16:41,120
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1338.91,14:43,0
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1310.46,15:03,20
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1298.22,15:23,40
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1307.9,15:43,60
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1290.29,16:03,80
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1295.07,16:23,100
Chiguiri Abajo,MUB-PO4,1,Live,0.0022,1295.33,16:41,120
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1371.76,14:43,0
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1337.73,15:03,20
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1301.22,15:23,40
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1300.29,15:44,60
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1307.8,16:03,80
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1318.49,16:23,100
Chiguiri Abajo,MUB-PO4,2,Live,0.0042,1298.42,16:42,120
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,4702.58,14:43,0
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,4576.74,15:03,20
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,4612.82,15:23,40
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,4494.93,15:44,60
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,5016.16,16:03,80
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,4851.78,16:23,100
Chiguiri Abajo,MUB-PO4,3,Control,0.0037,4921.61,16:42,120
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1383.56,14:50,0
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1419.84,15:08,20
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1415.39,15:30,40
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1409.42,15:48,60
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1418.19,16:08,80
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1417.58,16:29,100
Los Bajos Corera,Leucine-AMC,1,Live,0.0161,1422.66,16:50,120
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1359.89,14:50,0
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1356.41,15:08,20
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1352.77,15:30,40
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1340.95,15:49,60
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1350.63,16:08,80
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1339.01,16:29,100
Los Bajos Corera,Leucine-AMC,2,Live,0.0091,1336.03,16:50,120
Los Bajos Corera,Leucine-AMC,3,Control,0.0044,10092.42,14:51,0
Los Bajos Corera,Leucine-AMC,3,Control,0.0044,11208.42,15:30,40
Los Bajos Corera,Leucine-AMC,3,Control,0.0044,10380.36,15:49,60
Los Bajos Corera,Leucine-AMC,3,Control,0.0044,9361.24,16:08,80
Los Bajos Corera,Leucine-AMC,3,Control,0.0044,8601.85,16:29,100
Los Bajos Corera,Leucine-AMC,3,Control,0.0044,8872.07,16:50,120
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1360.33,14:51,0
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1363.8,15:08,20
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1361.97,15:31,40
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1351.05,15:49,60
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1357.16,16:08,80
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1341.75,16:30,100
Los Bajos Corera,Arginine-AMC,1,Live,0.0179,1335.31,16:51,120
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1312.85,14:51,0
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1314.13,15:08,20
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1302.78,15:31,40
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1297.11,15:49,60
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1301.12,16:09,80
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1287.57,16:30,100
Los Bajos Corera,Arginine-AMC,2,Live,0.0085,1286.24,16:51,120
Los Bajos Corera,Arginine-AMC,3,Control,0.005,1357.54,15:08,20
Los Bajos Corera,Arginine-AMC,3,Control,0.005,1349.37,15:31,40
Los Bajos Corera,Arginine-AMC,3,Control,0.005,1339.07,15:50,60
Los Bajos Corera,Arginine-AMC,3,Control,0.005,1341.89,16:09,80
Los Bajos Corera,Arginine-AMC,3,Control,0.005,1339.61,16:30,100
Los Bajos Corera,Arginine-AMC,3,Control,0.005,1361.93,16:51,120
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1411.51,14:51,0
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1505.92,15:09,20
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1462.89,15:31,40
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1515.01,15:50,60
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1327.24,16:09,80
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1366.99,16:30,100
Los Bajos Corera,MUB-Sulfate,1,Live,0.0197,1542.44,16:52,120
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1540.81,14:52,0
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1574.79,15:09,20
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1554.98,15:32,40
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1561.36,15:50,60
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1555.82,16:09,80
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1546.27,16:30,100
Los Bajos Corera,MUB-Sulfate,2,Live,0.0178,1555.51,16:52,120
Los Bajos Corera,MUB-Sulfate,3,Control,0.0049,1286.13,14:52,0
Los Bajos Corera,MUB-Sulfate,3,Control,0.0049,1265.72,15:09,20
Los Bajos Corera,MUB-Sulfate,3,Control,0.0049,1250.17,15:32,40
Los Bajos Corera,MUB-Sulfate,3,Control,0.0049,1256.63,15:51,60
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1411.85,14:52,0
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1409.76,15:09,20
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1396.76,15:32,40
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1396.86,15:51,60
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1406.68,16:10,80
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1385.04,16:31,100
Los Bajos Corera,MUB-B-Cellobioside,1,Live,0.0152,1385.11,16:52,120
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1381.87,14:52,0
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1369.68,15:10,20
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1389.66,15:33,40
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1383.48,15:51,60
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1426.7,16:10,80
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1387.39,16:31,100
Los Bajos Corera,MUB-B-Cellobioside,2,Live,0.0145,1401.63,16:53,120
Los Bajos Corera,MUB-B-Cellobioside,3,Control,0.0024,1255.61,15:33,40
Los Bajos Corera,MUB-B-Cellobioside,3,Control,0.0024,1254.42,15:51,60
Los Bajos Corera,MUB-B-Cellobioside,3,Control,0.0024,1244.71,16:10,80
Los Bajos Corera,MUB-B-Cellobioside,3,Control,0.0024,1239.95,16:32,100
Los Bajos Corera,MUB-B-Cellobioside,3,Control,0.0024,1229.79,16:52,120
Los Bajos Corera,MUB-PO4,1,Live,0.0179,2943.44,14:53,0
Los Bajos Corera,MUB-PO4,1,Live,0.0179,3134.74,15:10,20
Los Bajos Corera,MUB-PO4,1,Live,0.0179,3091.95,15:34,40
Los Bajos Corera,MUB-PO4,1,Live,0.0179,2993.29,15:52,60
Los Bajos Corera,MUB-PO4,1,Live,0.0179,2865.11,16:11,80
Los Bajos Corera,MUB-PO4,1,Live,0.0179,2970.9,16:32,100
Los Bajos Corera,MUB-PO4,1,Live,0.0179,2971.82,16:53,120
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1557.65,14:53,0
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1545.91,15:10,20
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1561.2,15:34,40
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1564.41,15:52,60
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1564.78,16:11,80
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1556.97,16:32,100
Los Bajos Corera,MUB-PO4,2,Live,0.0178,1554.66,16:54,120
Los Bajos Corera,MUB-PO4,3,Control,0.005,5691.35,15:10,20
Los Bajos Corera,MUB-PO4,3,Control,0.005,5644.93,15:34,40
Los Bajos Corera,MUB-PO4,3,Control,0.005,5652.45,15:52,60
Los Bajos Corera,MUB-PO4,3,Control,0.005,5554.84,16:11,80
Los Bajos Corera,MUB-PO4,3,Control,0.005,5698.6,16:32,100
Los Bajos Corera,MUB-PO4,3,Control,0.005,5714.12,16:54,120
